Age,Experience,Education Level,Hours Per Week,City Index,Salary
58.0,24.0,4.0,22.0,73.0,104479.35817701601
48.0,29.0,3.0,20.0,71.0,115169.74166328597
34.0,17.0,3.0,,82.0,85884.27104556205
27.0,10.0,1.0,56.0,2.0,109505.27691189738
40.0,28.0,2.0,26.0,10.0,97225.20001155554
58.0,16.0,3.0,22.0,2.0,93901.62021855818
38.0,25.0,3.0,55.0,60.0,80623.56132339158
42.0,22.0,3.0,22.0,45.0,82188.73527316205
30.0,19.0,3.0,23.0,8.0,96395.19550773966
30.0,1.0,3.0,50.0,58.0,74736.58356379626
43.0,23.0,2.0,21.0,7.0,90015.24702551954
55.0,30.0,1.0,33.0,99.0,79352.5936642871
59.0,26.0,2.0,56.0,87.0,99029.20460207431
43.0,1.0,1.0,50.0,72.0,67778.18837387604
22.0,13.0,2.0,21.0,21.0,59493.47470172142
41.0,3.0,1.0,,97.0,77638.24767020886
21.0,12.0,4.0,41.0,47.0,64699.02579623046
43.0,35.0,3.0,29.0,1.0,108563.57120896527
49.0,34.0,1.0,49.0,12.0,125283.89040738251
57.0,7.0,1.0,52.0,75.0,82608.25806728622
21.0,1.0,3.0,38.0,48.0,83714.48869055657
40.0,,4.0,44.0,94.0,70338.59987576972
52.0,30.0,3.0,20.0,4.0,125535.93079729291
31.0,9.0,1.0,51.0,34.0,94850.77141903432
41.0,20.0,1.0,44.0,87.0,71146.1496565665
44.0,9.0,3.0,36.0,32.0,74078.55137277686
46.0,22.0,2.0,33.0,3.0,107419.84067390033
47.0,2.0,3.0,32.0,92.0,100342.21067475136
35.0,31.0,1.0,57.0,68.0,78429.70947364568
34.0,19.0,1.0,58.0,57.0,70544.33845413136
22.0,9.0,1.0,21.0,76.0,66043.19865366747
56.0,28.0,4.0,51.0,24.0,75633.58955836228
26.0,,3.0,51.0,33.0,108485.67740314135
40.0,36.0,4.0,59.0,3.0,135586.15271044977
28.0,19.0,3.0,25.0,4.0,67420.44475646375
58.0,7.0,4.0,44.0,30.0,87706.6044746263
37.0,,2.0,22.0,70.0,61673.439425070304
23.0,5.0,1.0,37.0,49.0,91999.18923130876
44.0,10.0,1.0,57.0,30.0,67853.12206800423
33.0,17.0,3.0,22.0,72.0,109184.89631622875
28.0,,1.0,24.0,82.0,78838.1739378316
45.0,24.0,4.0,43.0,16.0,114167.63708001195
21.0,20.0,,53.0,53.0,94379.1842754405
39.0,2.0,4.0,58.0,6.0,81525.91000228547
47.0,17.0,4.0,43.0,24.0,83742.07146419038
26.0,23.0,3.0,55.0,92.0,103846.4313197684
27.0,37.0,1.0,47.0,96.0,94791.97106272631
54.0,9.0,4.0,53.0,89.0,79253.50662787793
33.0,26.0,3.0,35.0,28.0,120090.8411206358
36.0,11.0,4.0,55.0,21.0,100212.9534123984
55.0,6.0,4.0,26.0,8.0,90854.58427860803
59.0,16.0,4.0,37.0,36.0,87526.02222081606
23.0,0.0,3.0,25.0,9.0,67210.32479375042
21.0,25.0,2.0,47.0,40.0,90671.34998973332
25.0,14.0,4.0,58.0,85.0,100658.58368751465
23.0,32.0,4.0,,51.0,122227.0517776376
48.0,36.0,3.0,48.0,1.0,110146.22944532643
37.0,30.0,1.0,23.0,63.0,77710.32508729039
45.0,34.0,2.0,,68.0,112008.55685539823
53.0,0.0,3.0,24.0,74.0,70301.05802312505
29.0,7.0,1.0,44.0,26.0,49187.45431843529
55.0,11.0,3.0,58.0,40.0,55570.57874880468
33.0,18.0,3.0,27.0,3.0,92868.4576319071
50.0,24.0,2.0,34.0,9.0,78357.89301683444
34.0,31.0,2.0,38.0,32.0,105065.93194094679
27.0,,2.0,30.0,67.0,65365.725367040985
33.0,12.0,2.0,39.0,4.0,81797.7865874251
,27.0,1.0,55.0,6.0,87323.97708056863
59.0,0.0,4.0,37.0,73.0,103678.81215409958
40.0,5.0,3.0,33.0,26.0,90854.73486727967
35.0,7.0,2.0,57.0,2.0,98609.45350281746
37.0,3.0,4.0,44.0,66.0,82160.71653678599
43.0,4.0,1.0,35.0,85.0,78335.41408672322
45.0,24.0,2.0,37.0,86.0,92774.75116401713
44.0,21.0,3.0,20.0,3.0,112043.8705115059
48.0,27.0,4.0,59.0,35.0,107711.5690211559
34.0,38.0,2.0,20.0,59.0,81037.6598945881
20.0,22.0,3.0,20.0,38.0,61020.67712119092
44.0,3.0,4.0,40.0,33.0,106024.66679346772
26.0,,3.0,44.0,15.0,83977.56711226288
28.0,20.0,1.0,46.0,75.0,92363.85275062613
43.0,36.0,2.0,29.0,74.0,124144.71763437372
20.0,1.0,2.0,31.0,100.0,42423.97584411067
27.0,6.0,3.0,47.0,14.0,75020.98177152289
43.0,15.0,4.0,51.0,66.0,91658.95255577451
30.0,16.0,2.0,52.0,45.0,97534.12849810522
36.0,19.0,3.0,27.0,48.0,79010.39662348675
27.0,22.0,1.0,45.0,44.0,67979.39384727814
54.0,33.0,2.0,21.0,37.0,79044.7702350434
54.0,10.0,3.0,54.0,29.0,103041.2711440803
52.0,33.0,4.0,53.0,99.0,102462.01859295325
24.0,32.0,2.0,25.0,84.0,88719.73773517282
58.0,25.0,2.0,50.0,85.0,104517.47226091857
47.0,1.0,1.0,42.0,34.0,53915.81887647651
26.0,22.0,3.0,31.0,59.0,67625.77365866538
28.0,21.0,4.0,47.0,43.0,76674.48239412652
27.0,33.0,1.0,34.0,33.0,93947.88904926812
31.0,14.0,1.0,38.0,19.0,84059.92645547833
53.0,9.0,1.0,31.0,8.0,67166.3213422437
52.0,14.0,3.0,21.0,31.0,89656.64055713604
42.0,28.0,3.0,30.0,11.0,74807.43710988546
43.0,22.0,2.0,56.0,8.0,70020.44688547838
56.0,16.0,3.0,57.0,25.0,126209.03874441361
54.0,8.0,1.0,44.0,20.0,90291.7640820502
59.0,35.0,3.0,40.0,38.0,119534.57837847777
41.0,8.0,4.0,55.0,7.0,79104.12993898342
46.0,15.0,2.0,28.0,77.0,77029.90713904324
54.0,35.0,1.0,31.0,39.0,96174.840242996
20.0,32.0,2.0,29.0,74.0,117515.19170574786
54.0,30.0,3.0,24.0,72.0,105841.74149667638
56.0,5.0,2.0,52.0,20.0,83288.70701931702
33.0,9.0,2.0,24.0,81.0,71285.17597323749
22.0,15.0,3.0,35.0,11.0,98889.97600260127
20.0,3.0,2.0,56.0,16.0,78734.8412114691
24.0,21.0,3.0,56.0,42.0,97860.3409911852
45.0,12.0,1.0,48.0,96.0,65453.737417205935
33.0,15.0,2.0,37.0,90.0,80696.42386847551
58.0,28.0,4.0,48.0,52.0,91407.00944330066
46.0,5.0,,25.0,37.0,79397.91491019569
28.0,25.0,1.0,37.0,52.0,88733.67036947349
34.0,10.0,3.0,51.0,9.0,49132.22423090529
34.0,23.0,3.0,50.0,35.0,94544.90691349245
45.0,28.0,2.0,30.0,67.0,76361.79693093112
32.0,2.0,2.0,45.0,95.0,78479.58988275041
51.0,9.0,4.0,47.0,7.0,97957.39615326493
58.0,0.0,4.0,46.0,2.0,72804.90273502024
51.0,25.0,3.0,38.0,25.0,105835.33130682874
,11.0,4.0,46.0,76.0,99066.00404502591
49.0,13.0,3.0,39.0,94.0,82354.26240882347
56.0,24.0,1.0,22.0,94.0,106414.30462955487
42.0,7.0,1.0,35.0,93.0,58123.87594490248
58.0,3.0,4.0,58.0,41.0,106670.4855487975
34.0,27.0,2.0,48.0,75.0,93222.00856225193
48.0,6.0,4.0,34.0,52.0,70150.10470161049
55.0,9.0,4.0,49.0,87.0,83526.77286293427
32.0,35.0,4.0,59.0,81.0,100309.16158406014
51.0,1.0,2.0,20.0,77.0,76768.36801083805
26.0,25.0,4.0,48.0,97.0,80558.46532887085
41.0,13.0,2.0,49.0,65.0,103644.1283065324
47.0,15.0,4.0,59.0,77.0,82761.99197380309
21.0,16.0,2.0,51.0,38.0,98749.80057768931
25.0,21.0,2.0,29.0,67.0,87163.38791590702
47.0,3.0,2.0,46.0,80.0,76262.22924574395
47.0,18.0,2.0,27.0,42.0,74549.34943083955
39.0,1.0,2.0,55.0,71.0,77292.12000499698
49.0,38.0,1.0,54.0,54.0,105824.61432826296
30.0,,3.0,55.0,67.0,62131.33397746009
47.0,18.0,3.0,55.0,78.0,79562.49995600112
44.0,15.0,2.0,44.0,64.0,75686.3183348529
58.0,24.0,3.0,39.0,80.0,85475.05222810326
52.0,17.0,2.0,36.0,4.0,102992.16418075477
20.0,22.0,4.0,42.0,31.0,100505.21275771249
46.0,,1.0,44.0,13.0,72119.92978540176
32.0,10.0,4.0,50.0,27.0,82638.4526399544
22.0,38.0,4.0,25.0,59.0,105433.053746794
58.0,3.0,2.0,54.0,65.0,69479.25791992401
25.0,,4.0,23.0,64.0,82470.058929206
27.0,31.0,1.0,59.0,25.0,85591.03334104022
46.0,29.0,4.0,39.0,37.0,118299.10366746316
28.0,25.0,1.0,20.0,75.0,86780.1465505037
56.0,35.0,1.0,45.0,73.0,96714.936801897
52.0,33.0,2.0,53.0,71.0,103639.34225972649
43.0,8.0,1.0,29.0,14.0,68116.58865136883
34.0,11.0,4.0,42.0,94.0,86263.03342902534
51.0,1.0,2.0,43.0,24.0,77356.57258061218
51.0,37.0,1.0,32.0,67.0,105047.3997877189
43.0,4.0,1.0,48.0,48.0,45023.55540159177
31.0,4.0,3.0,46.0,91.0,76226.56721136135
58.0,21.0,2.0,50.0,65.0,68412.70900988852
21.0,4.0,3.0,29.0,38.0,84333.6580518356
22.0,3.0,1.0,50.0,90.0,79514.99835275425
